,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type
3309,178,325,26.0,63.0,11.0,3.0,1.2054627298390415,Dfa,12,1.0
3310,178,326,26.0,63.0,11.0,3.0,1.937895780880467,Dfa,12,1.0
3311,178,327,26.0,63.0,11.0,3.0,0.42725261310755513,Dfa,12,1.0
3312,178,328,26.0,63.0,11.0,3.0,1.2054627298390415,Dfb,12,1.0
3313,178,329,86.0,8.0,6.0,1.0,0.8316166933699947,Dfb,12,1.0
3314,178,330,86.0,8.0,6.0,1.0,0.9556216779838236,Dfb,12,1.0
3315,178,331,86.0,8.0,6.0,1.0,2.3346303501945727,Dfb,12,1.0
3316,178,332,86.0,8.0,6.0,1.0,0.36621652552076966,Dfb,12,1.0
3317,178,333,86.0,8.0,6.0,1.0,0.33569848172737693,Dfb,12,1.0
3318,178,334,86.0,8.0,6.0,1.0,0.5798428320744904,Dfb,12,1.0
3319,178,335,86.0,8.0,6.0,1.0,1.424192331493819,Dfb,12,1.0
3320,178,336,86.0,8.0,6.0,1.0,1.2343192356925958,Dfb,12,1.0
3321,178,337,86.0,8.0,6.0,1.0,0.781041513016845,Dfb,12,1.0
3322,178,338,86.0,8.0,6.0,1.0,0.33569848172737693,Dfb,12,1.0
3323,178,339,86.0,8.0,6.0,1.0,0.3509575036240449,Dfb,12,1.0
3324,178,340,86.0,10.0,4.0,1.0,0.8358722650323059,Dfb,12,1.0
3325,178,341,86.0,10.0,4.0,1.0,0.41199359121083035,Dfb,12,1.0
3326,178,342,86.0,10.0,4.0,1.0,1.1902037079423735,Dfb,12,1.0
3327,178,343,86.0,8.0,6.0,1.0,0.8239871824216607,Dfb,12,1.0
3328,178,344,86.0,8.0,6.0,1.0,0.7629510948348752,Dfb,12,1.0
3329,178,345,86.0,8.0,6.0,1.0,0.7095445181964237,Dfb,14,1.0
3330,178,346,32.0,49.0,19.0,4.0,0.4882887006943406,Dfb,14,1.0
3331,178,347,32.0,49.0,19.0,4.0,0.32043945983065214,Dfb,14,1.0
3332,178,348,86.0,8.0,6.0,1.0,0.3814755474174376,Dfb,14,1.0
3333,178,349,86.0,8.0,6.0,1.0,1.2359807736324342,Dfb,14,1.0
3334,178,350,86.0,8.0,6.0,1.0,1.2130922407874039,Dfb,14,1.0
3335,178,351,86.0,8.0,6.0,1.0,1.70901045243005,Dfb,14,1.0
3336,178,352,86.0,8.0,6.0,1.0,1.9836728465705846,Dfb,14,1.0
3337,178,353,86.0,8.0,6.0,1.0,1.2207217517357662,Dfb,14,1.0
3338,178,354,86.0,8.0,6.0,1.0,1.9989318684672526,Dfb,14,1.0
3339,178,355,86.0,8.0,6.0,1.0,1.6784924086366573,Dfb,14,1.0
3340,178,356,86.0,8.0,6.0,1.0,0.36621652552076966,Dfb,14,1.0
3341,178,357,86.0,8.0,6.0,1.0,2.3270008392462387,Dfb,4,5.0
3342,178,358,86.0,8.0,6.0,1.0,3.3875028610666504,Dfb,5,5.0
3343,178,359,86.0,8.0,6.0,1.0,3.9291981383993573,Dfb,4,5.0
3344,178,360,86.0,8.0,6.0,1.0,2.9297322041657594,Dfb,5,5.0
3345,178,361,86.0,8.0,6.0,1.0,1.9989318684672526,Dfb,5,5.0
3346,178,362,86.0,8.0,6.0,1.0,2.548256656748322,Dfb,5,5.0
3347,178,363,86.0,8.0,6.0,1.0,1.9836728465705846,Dfb,5,5.0
3348,178,364,86.0,8.0,6.0,1.0,2.532997634851654,Dfb,5,5.0
3349,178,367,37.0,46.0,17.0,4.0,2.532997634851654,Dfb,5,5.0
3350,178,368,37.0,46.0,17.0,4.0,2.342259861142935,Dfb,5,5.0
3351,178,369,86.0,8.0,6.0,1.0,1.6937514305333252,Dfb,14,1.0
3352,178,380,86.0,10.0,4.0,1.0,1.4190890363927906,Dfb,14,1.0
3353,178,381,86.0,8.0,6.0,1.0,1.9684138246738598,Dfb,5,5.0
3354,178,382,86.0,8.0,6.0,1.0,2.532997634851654,Dfb,5,5.0
3355,178,383,86.0,10.0,4.0,1.0,2.1972991531243338,Dfb,5,5.0
3356,178,384,86.0,8.0,6.0,1.0,1.2207217517357662,Dfb,14,1.0
3357,178,400,86.0,8.0,6.0,1.0,1.7776760509651695,Dfb,5,5.0
3358,178,401,86.0,8.0,6.0,1.0,1.6937514305333252,Dfb,5,5.0
3359,178,402,86.0,8.0,6.0,1.0,1.9989318684672526,Dfb,5,5.0
3360,178,403,86.0,8.0,6.0,1.0,2.006561379415615,Dfb,5,5.0
3361,178,404,86.0,8.0,6.0,1.0,2.2583352407111192,Dfb,5,5.0
3362,178,405,86.0,8.0,6.0,1.0,2.38040741588469,Dfb,5,5.0
3363,178,406,86.0,8.0,6.0,1.0,2.517738612954929,Dfb,5,5.0
3364,178,407,86.0,8.0,6.0,1.0,2.6703288319218927,Dfb,5,5.0
3365,178,408,86.0,8.0,6.0,1.0,2.548256656748322,Dfb,5,5.0
3366,178,409,86.0,8.0,6.0,1.0,2.532997634851654,Dfb,5,5.0
3367,178,410,86.0,8.0,6.0,1.0,3.0518043793393304,Dfb,5,5.0
3368,178,411,86.0,8.0,6.0,1.0,2.876325627527308,Dfb,5,5.0
3369,178,412,23.0,29.0,48.0,10.0,2.4948500801098987,Dfb,5,5.0
3370,178,413,23.0,29.0,48.0,10.0,1.7013809414816876,Dfb,5,5.0
3371,178,414,18.0,61.0,21.0,3.0,1.1673151750973148,Dfb,5,5.0
3372,178,415,23.0,29.0,48.0,10.0,1.2207217517357662,Dfb,14,1.0
3373,178,416,86.0,8.0,6.0,1.0,0.8117291014979753,Dfb,14,1.0
3374,178,417,37.0,46.0,17.0,4.0,0.51382213066814,Dfb,13,-1.0
3375,178,418,37.0,46.0,17.0,4.0,0.5783338843536153,Dfb,12,1.0
3376,178,419,37.0,46.0,17.0,4.0,0.3814755474174376,Dfb,12,1.0
3377,178,420,86.0,8.0,6.0,1.0,0.4936124038894035,Dfb,12,1.0
3378,178,421,86.0,8.0,6.0,1.0,0.5606673278909958,Dfb,12,1.0
3379,178,422,86.0,8.0,6.0,1.0,0.6599357425633945,Dfb,12,1.0
3380,178,423,86.0,8.0,6.0,1.0,0.5812161440452164,Dfb,12,1.0
3381,178,425,37.0,46.0,17.0,4.0,0.26030195908891884,Dfb,12,1.0
3382,178,426,86.0,8.0,6.0,1.0,0.2400413689038609,Dfb,12,1.0
3383,178,427,86.0,8.0,6.0,1.0,0.3794071022270198,Dfb,12,1.0
3384,178,428,40.0,39.0,21.0,4.0,0.5367615269195035,Dfb,12,1.0
3385,178,429,86.0,8.0,6.0,1.0,1.2283512626841002,Dfb,14,1.0
3386,178,430,86.0,8.0,6.0,1.0,1.2359807736324342,Dfb,4,5.0
3387,178,431,86.0,8.0,6.0,1.0,0.8545052262150534,Dfb,4,5.0
3388,178,432,86.0,8.0,6.0,1.0,0.4730296787976158,Dfb,14,1.0
3389,178,433,86.0,8.0,6.0,1.0,0.8010986495766019,Dfb,5,5.0
3390,178,436,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,5,5.0
3391,178,437,86.0,8.0,6.0,1.0,0.7782101167315432,Dfb,5,5.0
3392,178,438,86.0,8.0,6.0,1.0,0.8545052262150534,Dfb,5,5.0
3393,178,439,86.0,8.0,6.0,1.0,1.1139085984588633,Dfb,5,5.0
3394,178,440,86.0,8.0,6.0,1.0,0.968947890440262,Dfb,5,5.0
3395,178,441,86.0,8.0,6.0,1.0,1.2207217517357662,Dfb,5,5.0
3396,178,442,86.0,8.0,6.0,1.0,1.2054627298390415,Dfb,5,5.0
3397,178,443,86.0,8.0,6.0,1.0,1.5106431677729688,Dfb,5,5.0
3398,178,444,86.0,8.0,6.0,1.0,0.8621347371633874,Dfb,5,5.0
3399,178,445,86.0,8.0,6.0,1.0,1.091020065613833,Dfb,5,5.0
3400,178,446,86.0,8.0,6.0,1.0,1.4343480582895154,Dfb,5,5.0
3401,178,447,86.0,8.0,6.0,1.0,1.2436102845807966,Dfb,5,5.0
3402,178,448,86.0,8.0,6.0,1.0,0.36621652552076966,Dfb,5,5.0
3403,178,449,86.0,8.0,6.0,1.0,1.1902037079423735,Dfb,5,5.0
3404,178,450,86.0,8.0,6.0,1.0,0.4730296787976158,Dfb,5,5.0
3405,178,451,86.0,8.0,6.0,1.0,1.1749446860456487,Dfb,5,5.0
3406,178,452,86.0,8.0,6.0,1.0,0.8087281605249359,Dfb,5,5.0
3407,178,453,20.0,40.0,40.0,9.0,1.1673151750973148,Dfb,5,5.0
