,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25,C4frac,g1,lpx,psi50X,gpmax,C,bexp,bc,R2_VOD,R2_ET,N_VOD,N_ET,obsfilter,lcfilter
5048,5048,5048,5048,188,248,76.0,16.0,8.0,2.0,2.700846875715285,BSk,10,6.0,62.2,0.0,6.116490026189057,5.080207342266612,8.9232668544171,1.9616567051328488,20.646382746146173,3.667821353912797,0.16575195931581171,0.536282468005401,-10.136123555607274,882.0,82.0,1,1
5049,5049,5049,5049,188,249,86.0,8.0,6.0,1.0,2.517738612954929,BSk,10,6.0,62.2,0.0,7.0410955416633225,0.6431577799400915,3.139078803940038,7.310865975569435,0.513559174200661,9.673641713242091,0.22112715962437815,0.4302319190584757,-0.6632229094084794,923.0,86.0,1,1
5054,5054,5054,5054,188,254,32.0,49.0,19.0,4.0,2.5635156786450466,BSk,7,3.0,54.0,0.03,0.46182779264688845,12.787085633690436,14.837879432707393,0.0014259244728992446,0.20930125746668998,9.726653940296705,0.31186167505262813,0.3923280893405775,-1.0993067587144636,841.0,77.0,1,0
5060,5060,5060,5060,188,260,40.0,39.0,21.0,4.0,3.463797970550104,BSk,10,6.0,62.2,0.02,3.771857380132022,1.7748965416796154,7.622884260525865,7.031895954486397,4.459515558263496,9.904392749796862,0.6343584866721221,0.19058549155344673,-0.11686582562278991,846.0,82.0,1,0
5079,5079,5079,5079,188,282,40.0,39.0,21.0,4.0,0.4577706569009479,BSk,7,3.0,54.0,0.0,2.4704670942408415,2.8538347545293274,12.289449695618964,5.3096913046806415,15.365108623882856,9.26678855776117,0.8594295120065087,0.23374093254315353,-0.5296878501715856,430.0,34.0,1,0
5080,5080,5080,5080,188,283,40.0,39.0,21.0,4.0,0.6561379415579722,BSk,1,4.0,71.1,0.0,9.292534944533342,10.583352963681392,11.135230289702626,7.684360236074443,10.952437183506623,9.89462084176106,0.6558565337343589,0.14021588100028504,-0.3990095661904529,503.0,40.0,1,0
5083,5083,5083,5083,188,286,20.0,40.0,40.0,9.0,0.6561379415579722,BSk,10,6.0,62.2,0.0,3.9533764064916372,1.2145826024291178,5.8266675564782595,5.551324978757185,0.336122456193967,2.7193790628022696,0.14102064647764,0.2611740208098079,-0.5921764334024615,802.0,76.0,1,1
5084,5084,5084,5084,188,287,20.0,40.0,40.0,9.0,0.6561379415579722,BSk,10,6.0,62.2,0.0,7.4008043660107,0.9982526342256217,5.703872403982059,6.339380555384315,0.3187775066930532,2.622378495363919,0.1635779861472857,0.3325129463369877,-3.403487014659567,808.0,71.0,1,1
5085,5085,5085,5085,188,288,75.0,15.0,10.0,2.0,0.5493247882811261,BSk,10,6.0,62.2,0.0,2.9802389006807166,6.948725328698355,11.848688598497821,5.967334429857576,11.5816939809122,6.956006356914388,0.6096025087491784,0.141828392761979,-4.082853929811939,818.0,70.0,1,1
5086,5086,5086,5086,188,289,75.0,15.0,10.0,2.0,0.5951018539711868,BSk,10,6.0,62.2,0.0,7.4399228871257055,8.296217380057088,12.042116957330581,9.788479555513607,0.20392618817134053,4.203063898393382,0.12028928730977295,0.3870835738436005,-2.1396145948001455,766.0,68.0,1,1
