,index,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
564,10310,10310,131,1057,37.0,42.0,21.0,4.0,0.28622534184452875,Dfc,5,5.0,55.0
565,10328,10328,132,197,86.0,8.0,6.0,1.0,0.20058832006651225,Dfc,1,4.0,71.1
566,10330,10330,132,212,20.0,40.0,40.0,9.0,0.23929537227779574,ET,1,4.0,71.1
567,10332,10332,132,220,40.0,39.0,21.0,4.0,0.6383866127515042,Dfc,1,4.0,71.1
568,10346,10346,132,272,37.0,46.0,17.0,4.0,0.3987521510982733,Dfc,1,4.0,71.1
569,10363,10363,132,301,37.0,46.0,17.0,4.0,0.218916100811324,Dfc,1,4.0,71.1
570,10370,10370,132,316,37.0,46.0,17.0,4.0,0.21859396590461236,Dfc,1,4.0,71.1
571,10377,10377,132,335,37.0,46.0,17.0,4.0,0.2648457567203768,Dfc,10,6.0,62.2
572,10382,10382,132,340,37.0,46.0,17.0,4.0,0.16567906886062794,Dfc,1,4.0,71.1
573,10384,10384,132,342,37.0,46.0,17.0,4.0,0.21483007383676286,Dfc,1,4.0,71.1
574,10419,10419,132,826,43.0,16.0,41.0,10.0,0.8392462043183286,Dfb,5,5.0,55.0
575,10420,10420,132,827,35.0,54.0,11.0,3.0,0.6417775065063266,Dfb,5,5.0,55.0
576,10448,10448,132,878,37.0,44.0,19.0,4.0,0.5951018539711868,Dfb,12,1.0,54.0
577,10454,10454,132,911,34.0,41.0,25.0,4.0,1.7853055619135034,Dfb,5,5.0,55.0
578,10464,10464,132,933,37.0,44.0,19.0,4.0,2.2583352407111192,Dfb,12,1.0,54.0
579,10465,10465,132,934,41.0,36.0,23.0,4.0,2.571145189593381,Dfb,12,1.0,54.0
580,10481,10481,132,982,41.0,37.0,22.0,4.0,0.6256198977645795,Dfb,5,5.0,55.0
581,10499,10499,132,1035,48.0,40.0,12.0,4.0,0.31647211413753223,Dfb,5,5.0,55.0
582,10507,10507,132,1049,23.0,29.0,48.0,10.0,0.7298729262565841,Dfc,5,5.0,55.0
583,10510,10510,132,1052,19.0,32.0,49.0,10.0,0.6585115671863686,Dfc,5,5.0,55.0
584,10526,10526,132,1128,32.0,49.0,19.0,4.0,0.8392462043183286,Dfc,5,5.0,55.0
585,10529,10529,132,1131,90.0,5.0,5.0,0.0,0.6561379415579722,Dfc,5,5.0,55.0
586,10531,10531,132,1133,34.0,41.0,25.0,4.0,0.8545052262150534,Dfc,5,5.0,55.0
587,10618,10618,133,776,74.0,14.0,12.0,2.0,0.4348821240558891,Cfb,1,4.0,71.1
