,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
11036,11036,224,326,75.0,15.0,10.0,2.0,6.797894254978273,Cfa,10,6.0,62.2
11037,11037,224,327,75.0,15.0,10.0,2.0,8.0,Cfa,10,6.0,62.2
11038,11038,224,328,75.0,15.0,10.0,2.0,4.4785229266804265,Cfa,10,6.0,62.2
11039,11039,224,329,37.0,46.0,17.0,4.0,4.470893415732063,Cfa,10,6.0,62.2
11040,11040,224,330,37.0,46.0,17.0,4.0,5.027847714961496,Cfa,10,6.0,62.2
11041,11041,224,331,37.0,46.0,17.0,4.0,4.646372167544087,Cfa,10,6.0,62.2
11042,11042,224,332,37.0,46.0,17.0,4.0,3.2272831311513244,Cfa,10,6.0,62.2
11043,11043,224,334,86.0,8.0,6.0,1.0,4.043640802624567,Cfa,10,6.0,62.2
11044,11044,224,335,40.0,39.0,21.0,4.0,5.020218204013133,Cfa,10,6.0,62.2
11045,11045,224,336,40.0,39.0,21.0,4.0,5.539024948500838,Cfa,10,6.0,62.2
11046,11046,224,337,40.0,39.0,21.0,4.0,3.631647211413792,Cfa,10,6.0,62.2
11047,11047,224,338,40.0,39.0,21.0,4.0,2.8686961165789735,Cfa,10,6.0,62.2
11048,11048,224,339,40.0,39.0,21.0,4.0,4.043640802624567,Cfa,8,9.0,54.0
11049,11049,224,340,40.0,39.0,21.0,4.0,1.9378957808804667,Cfa,12,1.0,54.0
11050,11050,224,341,40.0,39.0,21.0,4.0,5.1041428244449785,Cfa,5,5.0,55.0
11051,11051,224,342,75.0,15.0,10.0,2.0,4.0894178683146825,Cfa,4,5.0,55.0
11052,11052,224,343,75.0,15.0,10.0,2.0,2.517738612954929,Cfa,5,5.0,55.0
11053,11053,224,344,40.0,39.0,21.0,4.0,3.5782406347753413,Cfa,12,1.0,54.0
11054,11054,224,345,86.0,10.0,4.0,1.0,4.516670481422182,Cfa,5,5.0,55.0
11055,11055,224,351,40.0,39.0,21.0,4.0,3.654535744258823,Cfa,5,5.0,55.0
11056,11056,224,352,40.0,39.0,21.0,4.0,4.12756542305641,Cfa,5,5.0,55.0
11057,11057,224,353,86.0,8.0,6.0,1.0,0.9675406695320206,Cfa,12,1.0,54.0
11058,11058,224,354,86.0,8.0,6.0,1.0,0.4883565185694289,Cfa,12,1.0,54.0
11059,11059,224,355,86.0,8.0,6.0,1.0,0.8392462043183286,Cfa,4,5.0,55.0
11060,11060,224,356,86.0,8.0,6.0,1.0,0.4889838339140733,Cfa,12,1.0,54.0
11061,11061,224,357,86.0,8.0,6.0,1.0,0.3167942490442421,Cfa,12,1.0,54.0
11062,11062,224,358,86.0,8.0,6.0,1.0,0.23351389842583045,Cfa,12,1.0,54.0
11063,11063,224,359,86.0,8.0,6.0,1.0,0.7102735603537207,Cfa,12,1.0,54.0
11064,11064,224,360,86.0,8.0,6.0,1.0,0.6942854962997274,Cfa,14,1.0,62.2
11065,11065,224,361,86.0,8.0,6.0,1.0,2.981646787552072,Cfa,4,5.0,55.0
11066,11066,224,362,86.0,8.0,6.0,1.0,0.3509575036240449,Cfa,4,5.0,55.0
11067,11067,224,363,86.0,8.0,6.0,1.0,1.007095445182017,Cfa,14,1.0,62.2
11068,11068,224,364,86.0,8.0,6.0,1.0,1.8234531166552583,Cfa,14,1.0,62.2
11069,11069,224,365,86.0,8.0,6.0,1.0,0.8239871824216607,Cfa,14,1.0,62.2
11070,11070,224,366,26.0,63.0,11.0,3.0,3.2501716639963547,Cfa,4,5.0,55.0
11071,11071,224,371,86.0,8.0,6.0,1.0,5.004959182116465,Cfa,4,5.0,55.0
11072,11072,224,372,86.0,8.0,6.0,1.0,5.737392233157891,Cfa,4,5.0,55.0
11073,11073,224,373,86.0,8.0,6.0,1.0,6.85893034256506,Cfa,4,5.0,55.0
11074,11074,224,374,86.0,8.0,6.0,1.0,5.081254291599919,Cfa,4,5.0,55.0
11075,11075,224,375,86.0,8.0,6.0,1.0,2.830548561837219,Cfa,4,5.0,55.0
11076,11076,224,376,86.0,8.0,6.0,1.0,4.0588998245212915,Cfa,14,1.0,62.2
11077,11077,224,377,86.0,8.0,6.0,1.0,6.225680933852174,Cfa,5,5.0,55.0
11078,11078,224,380,86.0,8.0,6.0,1.0,5.004959182116465,Cfa,4,5.0,55.0
11079,11079,224,381,86.0,8.0,6.0,1.0,3.2521044734366304,Cfa,13,-1.0,54.0
11080,11080,224,382,86.0,8.0,6.0,1.0,0.1,Cfa,13,-1.0,54.0
11081,11081,224,383,86.0,8.0,6.0,1.0,0.5688902452464453,Cfa,13,-1.0,54.0
